class;synergies__001;synergies__002;id;numid
Neutral;2274;3.0;EX1_097;440
Neutral;654;2.0;EX1_097;440
Neutral;1108;1.0;EX1_097;440
Neutral;847;1.7;EX1_097;440
Neutral;1372;1.0;EX1_097;440
Neutral;756;2.5;EX1_097;440
Neutral;613;1.0;EX1_097;440
Neutral;1804;1.0;EX1_097;440
Neutral;1004;1.0;EX1_097;440
Neutral;1801;2.0;EX1_097;440
Neutral;1861;1.0;EX1_097;440
Neutral;1991;1.0;EX1_097;440
Neutral;2018;1.0;EX1_097;440
Neutral;1659;3.5;EX1_097;440
Neutral;2257;1.0;EX1_097;440
Neutral;1786;4.0;EX1_097;440
Neutral;1522;1.5;EX1_097;440
Neutral;2704;1.0;EX1_097;440
Neutral;1008;3.0;EX1_097;440
Neutral;1155;3.0;EX1_097;440
Neutral;1808;1.0;EX1_097;440
Neutral;582;1.0;EX1_097;440
Neutral;1938;1.2;EX1_097;440
Neutral;1931;1.5;EX1_097;440
Neutral;2017;3.0;EX1_097;440
Neutral;1135;1.0;EX1_097;440
Neutral;2095;1.0;EX1_097;440
Neutral;2279;1.0;EX1_097;440
Neutral;2278;3.0;EX1_097;440
Neutral;2047;3.0;EX1_097;440
Neutral;754;2.0;EX1_097;440
Neutral;2086;1.0;CS2_188;242
Neutral;2172;1.7;CS2_188;242
Neutral;765;3.0;CS2_188;242
Neutral;2031;1.0;CS2_188;242
Neutral;2064;1.0;CS2_188;242
Neutral;642;2.5;CS2_188;242
Neutral;878;2.0;CS2_188;242
Neutral;995;1.0;CS2_188;242
Neutral;622;1.0;CS2_188;242
Neutral;2279;1.0;CS2_188;242
Neutral;943;1.0;CS2_188;242
Neutral;1135;2.0;CS2_188;242
Neutral;1009;2.0;CS2_188;242
Neutral;2010;1.0;CS2_188;242
Neutral;1022;1.0;CS2_188;242
Neutral;2052;3.5;CS2_188;242
Neutral;2783;2.0;CS2_188;242
Neutral;2073;1.0;CS2_188;242
Neutral;1363;2.7;CS2_188;242
Neutral;2024;1.0;CS2_188;242
Neutral;1941;1.0;CS2_188;242
Neutral;268;2.0;CS2_188;242
Neutral;774;1.0;CS2_188;242
Neutral;2028;2.0;CS2_188;242
Neutral;1155;2.5;CS2_188;242
Neutral;2258;1.0;CS2_188;242
Neutral;2071;1.0;CS2_188;242
Neutral;1008;2.0;CS2_188;242
Neutral;1147;1.0;CS2_188;242
Neutral;1786;3.0;CS2_188;242
Neutral;1522;2.0;CS2_188;242
Neutral;2050;2.0;CS2_188;242
Neutral;289;3.0;CS2_188;242
Neutral;2288;2.0;CS2_188;242
Neutral;282;4.0;CS2_188;242
Neutral;287;1.0;CS2_188;242
Neutral;692;1.0;CS2_188;242
Neutral;1688;1.0;CS2_188;242
Neutral;2034;3.0;CS2_188;242
Neutral;618;5.0;CS2_188;242
Neutral;608;1.0;CS2_188;242
Neutral;736;2.0;CS2_188;242
Neutral;1221;1.0;CS2_188;242
Neutral;2019;1.7;CS2_188;242
Neutral;860;5.0;CS2_188;242
Neutral;2011;3.0;CS2_188;242
Neutral;559;2.0;CS2_188;242
Neutral;903;3.0;CS2_188;242
Neutral;556;1.0;CS2_188;242
Neutral;1092;2.0;CS2_188;242
Neutral;2084;1.0;CS2_188;242
Neutral;2053;3.0;CS2_188;242
Neutral;994;1.0;CS2_188;242
Neutral;1144;2.0;CS2_188;242
Neutral;601;1.0;CS2_188;242
Neutral;455;1.5;CS2_188;242
Neutral;381;1.0;CS2_188;242
Neutral;592;1.0;CS2_188;242
Neutral;654;1.0;CS2_188;242
Neutral;466;3.0;CS2_188;242
Neutral;2026;3.0;CS2_188;242
Neutral;790;1.0;CS2_188;242
Neutral;2043;1.0;CS2_188;242
Neutral;2032;3.0;CS2_188;242
Neutral;1781;3.0;CS2_188;242
Neutral;1808;5.0;EX1_007;1659
Neutral;2291;2.0;EX1_007;1659
Neutral;1939;3.0;EX1_007;1659
Neutral;2075;1.5;EX1_007;1659
Neutral;2020;1.0;EX1_007;1659
Neutral;1929;1.0;EX1_007;1659
Neutral;2280;2.5;EX1_007;1659
Neutral;2053;1.0;EX1_007;1659
Neutral;1938;3.5;EX1_007;1659
Neutral;1995;1.5;EX1_007;1659
Neutral;1800;3.0;EX1_007;1659
Neutral;2541;2.0;EX1_007;1659
Neutral;2571;5.0;EX1_007;1659
Neutral;2009;2.0;EX1_007;1659
Neutral;2298;1.0;EX1_007;1659
Neutral;2058;5.0;EX1_007;1659
Neutral;2072;3.7;EX1_007;1659
Neutral;1805;4.0;EX1_007;1659
Neutral;1935;4.0;EX1_007;1659
Neutral;2260;3.0;EX1_007;1659
Neutral;2296;3.0;EX1_007;1659
Neutral;2095;1.5;EX1_007;1659
Shaman;351;1.0;NEW1_010;32
Shaman;755;2.0;NEW1_010;32
Shaman;581;4.0;NEW1_010;32
Shaman;767;1.0;NEW1_010;32
Shaman;2507;1.0;NEW1_010;32
Shaman;1998;5.0;NEW1_010;32
Shaman;2262;1.0;NEW1_010;32
Shaman;1008;4.0;NEW1_010;32
Shaman;1171;1.0;NEW1_010;32
Shaman;513;2.0;NEW1_010;32
Shaman;157;1.0;NEW1_010;32
Shaman;242;5.0;NEW1_010;32
Shaman;1809;3.0;NEW1_010;32
Shaman;348;3.5;NEW1_010;32
Shaman;985;2.7;NEW1_010;32
Shaman;496;1.0;NEW1_010;32
Shaman;2007;2.0;NEW1_010;32
Shaman;766;1.0;NEW1_010;32
Shaman;239;4.0;NEW1_010;32
Shaman;186;2.0;NEW1_010;32
Shaman;1073;1.0;NEW1_010;32
Shaman;404;4.0;NEW1_010;32
Neutral;2556;3.0;EX1_006;1658
Neutral;2076;1.0;EX1_006;1658
Neutral;2888;1.0;EX1_006;1658
Neutral;9081;2.0;EX1_006;1658
Neutral;2682;1.0;EX1_006;1658
Neutral;2233;2.0;EX1_006;1658
Neutral;2049;1.0;EX1_006;1658
Neutral;1989;1.5;EX1_006;1658
Neutral;2002;1.7;EX1_006;1658
Neutral;2003;3.0;EX1_006;1658
Neutral;1784;5.0;EX1_006;1658
Neutral;1986;2.5;EX1_006;1658
Neutral;2051;1.0;EX1_006;1658
Neutral;2045;1.0;EX1_006;1658
Neutral;2012;4.0;EX1_006;1658
Neutral;1800;3.0;EX1_006;1658
Neutral;1693;1.5;EX1_006;1658
Neutral;2010;2.0;EX1_006;1658
Neutral;1993;1.0;EX1_006;1658
Neutral;1938;1.0;EX1_006;1658
Neutral;2070;3.5;EX1_006;1658
Neutral;2017;2.7;EX1_006;1658
Neutral;1794;1.3;EX1_006;1658
Neutral;2280;3.0;EX1_006;1658
Paladin;1721;2.0;EX1_382;1167
Paladin;2026;1.5;EX1_382;1167
Paladin;1655;1.0;EX1_382;1167
Paladin;1371;5.0;EX1_382;1167
Paladin;1861;1.0;EX1_382;1167
Paladin;2087;1.0;EX1_382;1167
Paladin;1791;1.5;EX1_382;1167
Paladin;1786;1.0;EX1_382;1167
Paladin;1693;2.0;EX1_382;1167
Neutral;1361;2.7;EX1_561;581
Neutral;1794;3.0;EX1_561;581
Neutral;1022;3.0;EX1_561;581
Neutral;1372;1.0;EX1_561;581
Neutral;2027;1.0;EX1_561;581
Neutral;994;2.0;EX1_561;581
Neutral;2770;3.0;EX1_561;581
Neutral;2408;5.0;EX1_561;581
Neutral;1998;2.0;EX1_561;581
Neutral;667;1.0;EX1_561;581
Neutral;2286;3.0;EX1_561;581
Neutral;804;1.0;EX1_561;581
Neutral;2006;2.0;EX1_561;581
Neutral;1084;1.0;EX1_561;581
Neutral;2758;2.0;EX1_561;581
Neutral;877;1.0;EX1_561;581
Neutral;2257;5.0;EX1_561;581
Neutral;1993;2.0;EX1_561;581
Neutral;1368;1.0;EX1_561;581
Neutral;791;1.0;EX1_561;581
Neutral;1939;1.0;EX1_561;581
Neutral;2299;3.0;EX1_561;581
Neutral;2075;1.0;EX1_561;581
Neutral;2037;1.7;EX1_561;581
Neutral;2234;1.0;EX1_561;581
Neutral;608;1.0;EX1_561;581
Neutral;810;2.5;EX1_561;581
Neutral;1933;1.0;EX1_561;581
Neutral;2551;1.0;EX1_561;581
Neutral;1801;1.6;EX1_561;581
Neutral;1073;1.0;EX1_393;790
Neutral;1167;1.0;EX1_393;790
Neutral;2055;3.0;EX1_393;790
Neutral;2257;1.0;EX1_393;790
Neutral;1368;1.0;EX1_393;790
Neutral;887;1.5;EX1_393;790
Neutral;1074;2.0;EX1_393;790
Neutral;1935;1.0;EX1_393;790
Neutral;2018;2.0;EX1_393;790
Neutral;1014;3.0;EX1_393;790
Neutral;1009;3.7;EX1_393;790
Neutral;1634;1.0;EX1_393;790
Neutral;1092;1.0;EX1_393;790
Neutral;1019;3.0;EX1_393;790
Neutral;2655;5.0;EX1_393;790
Neutral;1807;2.5;EX1_393;790
Neutral;1108;1.0;EX1_393;790
Neutral;2069;1.0;EX1_393;790
Shaman;2064;2.5;CS2_038;404
Shaman;753;2.0;CS2_038;404
Shaman;1063;1.0;CS2_038;404
Shaman;2034;2.0;CS2_038;404
Shaman;739;1.3;CS2_038;404
Shaman;995;2.0;CS2_038;404
Shaman;1793;5.0;CS2_038;404
Shaman;791;1.0;CS2_038;404
Shaman;712;1.5;CS2_038;404
Shaman;642;3.0;CS2_038;404
Shaman;2057;1.0;CS2_038;404
Shaman;768;1.0;CS2_038;404
Shaman;2086;2.0;CS2_038;404
Shaman;1140;1.5;CS2_038;404
Shaman;1658;1.2;CS2_038;404
Shaman;1797;3.5;CS2_038;404
Shaman;754;4.0;CS2_038;404
Shaman;2257;1.0;CS2_038;404
Shaman;2949;2.0;CS2_038;404
Shaman;2280;1.0;CS2_038;404
Shaman;1014;1.2;CS2_038;404
Shaman;2306;2.0;CS2_038;404
Shaman;1809;4.0;CS2_038;404
Shaman;559;2.5;CS2_038;404
Shaman;736;1.0;CS2_038;404
Shaman;2278;1.0;CS2_038;404
Shaman;762;2.0;CS2_038;404
Shaman;759;3.0;CS2_038;404
Shaman;1686;3.0;CS2_038;404
Shaman;608;1.0;CS2_038;404
Shaman;2078;2.0;CS2_038;404
Shaman;778;2.0;CS2_038;404
Shaman;622;2.0;CS2_038;404
Shaman;1141;3.5;CS2_038;404
Shaman;2072;1.5;CS2_038;404
Shaman;2058;1.0;CS2_038;404
Shaman;2062;1.0;CS2_038;404
Shaman;1098;2.0;CS2_038;404
Shaman;2047;2.0;CS2_038;404
Shaman;1915;5.0;CS2_038;404
Shaman;2080;1.0;CS2_038;404
Shaman;648;1.0;CS2_038;404
Shaman;1982;1.0;CS2_038;404
Shaman;932;2.3;CS2_038;404
Shaman;749;3.0;CS2_038;404
Shaman;2085;1.0;CS2_038;404
Shaman;526;2.0;CS2_038;404
Shaman;1372;3.0;CS2_038;404
Shaman;2010;1.0;CS2_038;404
Shaman;1794;4.0;CS2_038;404
Shaman;906;1.0;CS2_038;404
Shaman;2005;3.0;CS2_038;404
Shaman;602;1.3;CS2_038;404
Shaman;2077;2.0;CS2_038;404
Shaman;2261;1.5;CS2_038;404
Shaman;1370;1.0;CS2_038;404
Shaman;1858;1.5;CS2_038;404
Shaman;1791;1.0;CS2_038;404
Shaman;926;1.0;CS2_038;404
Shaman;834;4.0;CS2_038;404
